customer_id,age,gender,state,product_category,season,previous_purchases,purchase_amount_usd,discount_applied,discount_pct,payment_method,shipping_type,review_rating,return_rate,promo_dependency_score,clv_proxy,value_tier,satisfaction_flag,loyal_behavioural,loyal_value_weighted,age_band,high_spend_flag,discount_only_buyer
CUST00001,56,Female,Texas,Accessories,Fall,7,28.06,1,5,Credit Card,Standard,4.0,0.27,0.558,196.42,Low,1,0,0,55-64,0,1
CUST00002,46,Male,New York,Footwear,Winter,3,89.65,1,5,Debit Card,Express,2.8,0.2,0.708,268.95000000000005,Mid,0,0,0,45-54,1,0
CUST00003,32,Male,Colorado,Footwear,Spring,2,60.71,1,15,Debit Card,Free Shipping,3.2,0.43,0.675,121.42,Low,0,0,0,25-34,0,1
CUST00004,60,Female,Washington,Accessories,Winter,6,105.02,0,0,Debit Card,Free Shipping,4.0,0.42,0.0,630.12,High,1,0,0,55-64,1,0
CUST00005,25,Female,New York,Clothing,Spring,27,148.05,1,20,PayPal,Free Shipping,4.2,0.18,0.733,3997.3500000000004,High,1,0,1,25-34,1,0
CUST00006,38,Male,Florida,Footwear,Spring,1,130.36,0,0,Debit Card,Free Shipping,2.1,0.23,0.15,130.36,Low,0,0,0,35-44,1,0
CUST00007,56,Female,Washington,Clothing,Winter,3,42.68,1,10,Debit Card,Free Shipping,4.7,0.54,0.617,128.04,Low,1,0,0,55-64,0,1
CUST00008,36,Male,California,Accessories,Winter,7,67.32,0,0,Apple Pay,Overnight,3.8,0.17,0.0,471.23999999999995,Mid,0,1,0,35-44,0,0
CUST00009,40,Female,California,Footwear,Summer,7,161.93,1,10,Apple Pay,Free Shipping,2.3,0.32,0.767,1133.51,High,0,0,0,35-44,1,0
CUST00010,28,Male,Virginia,Footwear,Summer,16,217.88,1,10,Credit Card,Express,4.2,0.03,0.617,3486.08,High,1,0,1,25-34,1,0
CUST00011,28,Female,California,Footwear,Summer,2,110.86,1,10,PayPal,Free Shipping,1.7,0.46,0.767,221.72,Mid,0,0,0,25-34,1,0
CUST00012,41,Male,Colorado,Footwear,Summer,6,93.67,0,0,Debit Card,Free Shipping,5.0,0.24,0.0,562.02,High,1,0,1,35-44,1,0
CUST00013,53,Male,Massachusetts,Clothing,Spring,2,103.52,1,20,Credit Card,Free Shipping,1.8,0.16,0.883,207.04,Low,0,0,0,45-54,1,1
